#,Designator,Footprint,Qty,Designation,Recommended Spec,Digi-Key Part #,Unit Price,Ext Price
1,C1,C_0603_1608Metric,1,4.7µF,"4.7µF, X5R/X7R, ≥10V",Search Caps,$0.05,$0.05
2,C2,C_0603_1608Metric,1,22µF,"22µF, X5R/X7R, ≥10V",Search Caps,$0.05,$0.05
3,"C3, C6, C19, C21, C22",C_0603_1608Metric,5,100nF,"100nF, X7R, ≥10V",Search Caps,$0.05,$0.25
4,C4,C_0603_1608Metric,1,10µF,"10µF, X5R/X7R, ≥6.3V",Search Caps,$0.05,$0.05
5,C5,C_0603_1608Metric,1,33pF,"33pF, C0G/NP0, ≥25V",Search Caps,$0.05,$0.05
6,C7,C_0603_1608Metric,1,10µF,"10µF, X5R/X7R, ≥6.3V",Search Caps,$0.05,$0.05
7,C8,C_0603_1608Metric,1,20µF,"20µF, X5R/X7R, ≥6.3V",Search Caps,$0.05,$0.05
8,C9,C_0603_1608Metric,1,1µF,"1µF, X7R, ≥10V",Search Caps,$0.05,$0.05
9,"C10, C15, C17",C_0603_1608Metric,3,10µF,"10µF, X5R/X7R, ≥6.3V",Search Caps,$0.05,$0.15
10,"C11, C12, C32, C33, C35, C36, C37",C_0805_2012Metric,7,22µF,"22µF, X5R/X7R, ≥10V",Search Caps,$0.05,$0.35
11,"C13, C14, C16, C25, C31",C_0603_1608Metric,5,0.1µF,"0.1µF, X7R, ≥16V",Search Caps,$0.05,$0.25
12,C18,C_0603_1608Metric,1,1.0µF,"1.0µF, X7R, ≥6.3V",Search Caps,$0.05,$0.05
13,C20,C_0603_1608Metric,1,47µF,"47µF, X5R/X7R, ≥6.3V min; 10V preferred",Search Caps,$0.05,$0.05
14,C23,C_0603_1608Metric,1,10nF,"10nF, C0G/NP0, ≥25V",Search Caps,$0.05,$0.05
15,C24,C_0603_1608Metric,1,10pF,"10pF, C0G/NP0, ≥25V",Search Caps,$0.05,$0.05
16,C26,C_0603_1608Metric,1,22µF,"22µF, X5R/X7R, ≥6.3V",Search Caps,$0.05,$0.05
17,C27,C_0603_1608Metric,1,2.2µF,"2.2µF, X7R, ≥10V",Search Caps,$0.05,$0.05
18,C28,C_0805_2012Metric,1,68nF,"68nF, X7R, ≥10V",Search Caps,$0.05,$0.05
19,C29,C_0603_1608Metric,1,4.7nF,"4.7nF, X7R/C0G, ≥10V",Search Caps,$0.05,$0.05
20,C30,C_0603_1608Metric,1,47pF,"47pF, C0G/NP0, ≥25V",Search Caps,$0.05,$0.05
21,C34,C_0603_1608Metric,1,47µF,"47µF, X5R/X7R, ≥6.3V min; 10V preferred",Search Caps,$0.05,$0.05
22,D1,LED_0402_1005Metric,1,LED,,Search LEDs,$0.15,$0.15
23,D2,LED_0402_1005Metric,1,DEBUG,,Search LEDs,$0.15,$0.15
24,J1,USB_C_Receptacle_GCT_USB4085,1,USB-C Receptacle,,2073-USB4085-GF-ACT-ND,$0.89,$0.89
25,J2,SolderWire-0.127sqmm_1x02_P3.7mm,1,Conn_01x02_Socket,,Search Connectors,$0.50,$0.50
26,J3,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,U.FL Coaxial Connector,,H11891CT-ND,$1.29,$1.29
27,J4,microSD_HC_Wuerth_693072010801,1,microSD Card Holder,,732-693072010801-1-ND,$3.41,$3.41
28,J5,JST_NV_B04P-NV_1x04_P5.00mm_Vertical,1,Conn_01x04_Socket,,Search Connectors,$0.50,$0.50
29,J6,CON_522711569_MOL,1,522711569,,Search Connectors,$0.50,$0.50
